FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Confirmed_delta,Deaths_delta,Recovered_delta,Active_delta
4907,,Vinnytsia,Ukraine,2020-12-24 00:00:19,48.920517,28.685484,21259,368,13589,7302,114,7,208,-101
4908,,Volynska,Ukraine,2020-12-24 00:00:19,51.190885,24.870603,31490,495,25368,5627,352,3,594,-245
4913,,Dnipropetrovska,Ukraine,2020-12-24 00:00:19,48.301142,34.844169,54625,1279,41533,11813,478,24,960,-506
4912,,Donetska,Ukraine,2020-12-24 00:00:19,48.047635,37.674086,33102,669,23362,9071,342,9,698,-365
4914,,Zhytomyrskа,Ukraine,2020-12-24 00:00:19,50.639546,28.475602,36975,622,29565,6788,165,7,690,-532
4915,,Zakarpatska,Ukraine,2020-12-24 00:00:19,48.403718,23.275854,27391,614,21756,5021,88,1,195,-108
4891,,Zaporizka,Ukraine,2020-12-24 00:00:19,47.26706,35.700061,49341,495,16584,32262,887,13,264,610
4892,,Ivano-Frankivska,Ukraine,2020-12-24 00:00:19,48.701932,24.619344,42300,781,22135,19384,210,6,883,-679
4910,,Kyivska,Ukraine,2020-12-24 00:00:19,50.299214,30.455333,54831,899,27354,26578,809,11,1426,-628
4893,,Kirovohradska,Ukraine,2020-12-24 00:00:19,48.472378,32.081666,7949,234,3453,4262,88,6,87,-5
4894,,Luhanska,Ukraine,2020-12-24 00:00:19,48.985624,39.018116,9181,256,6546,2379,187,7,147,33
4895,,Lvivska,Ukraine,2020-12-24 00:00:19,49.717422,23.916561,57906,1671,42821,13414,505,22,366,117
4896,,Mykolaivska,Ukraine,2020-12-24 00:00:19,47.438413,31.778998,27970,460,12760,14750,491,12,323,156
4909,Kyiv,Kyivska,Ukraine,2020-12-24 00:00:19,50.448668,30.547911,103663,1779,34928,66956,1381,30,947,404
4911,,Odeska,Ukraine,2020-12-24 00:00:19,46.518829,30.602712,66295,959,29285,36051,792,17,1766,-991
4897,,Poltavska,Ukraine,2020-12-24 00:00:19,49.732656,33.778584,32945,691,24279,7975,439,13,1402,-976
4898,,Rivnenska,Ukraine,2020-12-24 00:00:19,51.039594,26.391115,39251,484,34106,4661,331,0,537,-206
4899,,Sumska,Ukraine,2020-12-24 00:00:19,51.10612,34.12381,38501,506,31579,6416,180,2,608,-430
4900,,Ternopilska,Ukraine,2020-12-24 00:00:19,49.402088,25.64818,32738,444,28701,3593,159,2,310,-153
4901,,Kharkivska,Ukraine,2020-12-24 00:00:19,49.615098,36.504888,66243,1008,51419,13816,591,9,758,-176
4902,,Khersonska,Ukraine,2020-12-24 00:00:19,46.673984,33.53598,16162,386,6834,8942,189,8,143,38
4903,,Khmelnytska,Ukraine,2020-12-24 00:00:19,49.507456,26.929458,37142,628,30228,6286,302,25,888,-611
4904,,Cherkaska,Ukraine,2020-12-24 00:00:19,49.260159,31.352536,35938,328,17713,17897,525,13,323,189
4905,,Chernivetska,Ukraine,2020-12-24 00:00:19,48.268275,25.976996,38721,749,26142,11830,166,3,413,-250
4906,,Chernihivska,Ukraine,2020-12-24 00:00:19,51.355018,32.004509,27723,367,13620,13736,365,25,436,-96
