FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Confirmed_delta,Deaths_delta,Recovered_delta,Active_delta
4907,,Vinnytsia,Ukraine,2020-09-25 00:00:19,48.920517,28.685484,5556,104,3620,1832,101,1,40,60
4908,,Volynska,Ukraine,2020-09-25 00:00:19,51.190885,24.870603,7235,155,4991,2089,103,5,60,38
4913,,Dnipropetrovska,Ukraine,2020-09-25 00:00:19,48.301142,34.844169,4692,94,2478,2120,298,0,113,185
4912,,Donetska,Ukraine,2020-09-25 00:00:19,48.047635,37.674086,2767,54,1048,1665,133,0,15,118
4914,,Zhytomyrskа,Ukraine,2020-09-25 00:00:19,50.639546,28.475602,5262,96,2948,2218,71,4,95,-28
4915,,Zakarpatska,Ukraine,2020-09-25 00:00:19,48.403718,23.275854,9416,298,4364,4754,73,4,69,0
4891,,Zaporizka,Ukraine,2020-09-25 00:00:19,47.26706,35.700061,3288,50,1159,2079,139,1,1,137
4892,,Ivano-Frankivska,Ukraine,2020-09-25 00:00:19,48.701932,24.619344,12952,291,5867,6794,141,4,145,-8
4910,,Kyivska,Ukraine,2020-09-25 00:00:19,50.299214,30.455333,8286,165,5108,3013,138,0,55,83
4893,,Kirovohradska,Ukraine,2020-09-25 00:00:19,48.472378,32.081666,1039,55,801,183,15,0,1,14
4894,,Luhanska,Ukraine,2020-09-25 00:00:19,48.985624,39.018116,841,8,440,393,27,2,7,18
4895,,Lvivska,Ukraine,2020-09-25 00:00:19,49.717422,23.916561,19250,536,6464,12250,205,4,131,70
4896,,Mykolaivska,Ukraine,2020-09-25 00:00:19,47.438413,31.778998,2717,69,872,1776,74,1,29,44
4909,Kyiv,Kyivska,Ukraine,2020-09-25 00:00:19,50.448668,30.547911,20665,333,6149,14183,330,3,106,221
4911,,Odeska,Ukraine,2020-09-25 00:00:19,46.518829,30.602712,12309,174,2518,9617,179,7,0,172
4897,,Poltavska,Ukraine,2020-09-25 00:00:19,49.732656,33.778584,1677,34,835,808,47,0,65,-18
4898,,Rivnenska,Ukraine,2020-09-25 00:00:19,51.039594,26.391115,11621,156,9157,2308,162,1,167,-6
4899,,Sumska,Ukraine,2020-09-25 00:00:19,51.10612,34.12381,3352,58,1515,1779,72,3,72,-3
4900,,Ternopilska,Ukraine,2020-09-25 00:00:19,49.402088,25.64818,12334,149,5996,6189,265,3,374,-112
4901,,Kharkivska,Ukraine,2020-09-25 00:00:19,49.615098,36.504888,16193,316,4298,11579,285,1,50,234
4902,,Khersonska,Ukraine,2020-09-25 00:00:19,46.673984,33.53598,905,21,497,387,37,0,20,17
4903,,Khmelnytska,Ukraine,2020-09-25 00:00:19,49.507456,26.929458,5185,98,2225,2862,136,2,54,80
4904,,Cherkaska,Ukraine,2020-09-25 00:00:19,49.260159,31.352536,3355,51,1525,1779,117,1,39,77
4905,,Chernivetska,Ukraine,2020-09-25 00:00:19,48.268275,25.976996,13562,342,7790,5430,114,1,71,42
4906,,Chernihivska,Ukraine,2020-09-25 00:00:19,51.355018,32.004509,3647,50,793,2804,110,4,9,97
