FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Confirmed_delta,Deaths_delta,Recovered_delta,Active_delta
4907,,Vinnytsia,Ukraine,2020-08-08 00:00:19,48.920517,28.685484,2932,58,2190,684,34,1,21,12
4908,,Volynska,Ukraine,2020-08-08 00:00:19,51.190885,24.870603,4162,90,3126,946,54,1,33,20
4913,,Dnipropetrovska,Ukraine,2020-08-08 00:00:19,48.301142,34.844169,1508,31,1132,345,16,0,0,16
4912,,Donetska,Ukraine,2020-08-08 00:00:19,48.047635,37.674086,945,13,724,208,4,0,10,-6
4914,,Zhytomyrskа,Ukraine,2020-08-08 00:00:19,50.639546,28.475602,2064,40,1518,506,28,0,14,14
4915,,Zakarpatska,Ukraine,2020-08-08 00:00:19,48.403718,23.275854,5615,216,2341,3058,76,4,43,29
4891,,Zaporizka,Ukraine,2020-08-08 00:00:19,47.26706,35.700061,895,21,640,234,5,0,6,-1
4892,,Ivano-Frankivska,Ukraine,2020-08-08 00:00:19,48.701932,24.619344,5426,150,1988,3288,131,2,58,71
4910,,Kyivska,Ukraine,2020-08-08 00:00:19,50.299214,30.455333,4058,67,2902,1089,78,0,22,56
4893,,Kirovohradska,Ukraine,2020-08-08 00:00:19,48.472378,32.081666,714,38,648,28,1,2,1,-2
4894,,Luhanska,Ukraine,2020-08-08 00:00:19,48.985624,39.018116,146,1,115,30,11,0,2,9
4895,,Lvivska,Ukraine,2020-08-08 00:00:19,49.717422,23.916561,10572,294,2822,7456,152,11,87,54
4896,,Mykolaivska,Ukraine,2020-08-08 00:00:19,47.438413,31.778998,682,15,477,190,16,1,6,9
4909,Kyiv,Kyivska,Ukraine,2020-08-08 00:00:19,50.448668,30.547911,9178,142,3163,5873,186,0,26,160
4911,,Odeska,Ukraine,2020-08-08 00:00:19,46.518829,30.602712,3904,65,1391,2448,156,3,1,152
4897,,Poltavska,Ukraine,2020-08-08 00:00:19,49.732656,33.778584,489,15,345,129,12,0,2,10
4898,,Rivnenska,Ukraine,2020-08-08 00:00:19,51.039594,26.391115,6638,103,5139,1396,100,2,44,54
4899,,Sumska,Ukraine,2020-08-08 00:00:19,51.10612,34.12381,636,9,391,236,42,1,10,31
4900,,Ternopilska,Ukraine,2020-08-08 00:00:19,49.402088,25.64818,3212,41,1989,1182,35,1,52,-18
4901,,Kharkivska,Ukraine,2020-08-08 00:00:19,49.615098,36.504888,4527,138,2399,1990,146,2,16,128
4902,,Khersonska,Ukraine,2020-08-08 00:00:19,46.673984,33.53598,255,3,213,39,13,0,2,11
4903,,Khmelnytska,Ukraine,2020-08-08 00:00:19,49.507456,26.929458,1286,25,1001,260,29,0,11,18
4904,,Cherkaska,Ukraine,2020-08-08 00:00:19,49.260159,31.352536,975,37,760,178,6,0,13,-7
4905,,Chernivetska,Ukraine,2020-08-08 00:00:19,48.268275,25.976996,6477,222,5077,1178,94,2,51,41
4906,,Chernihivska,Ukraine,2020-08-08 00:00:19,51.355018,32.004509,965,18,564,383,28,0,0,28
