FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Confirmed_delta,Deaths_delta,Recovered_delta,Active_delta
4907,,Vinnytsia,Ukraine,2021-10-07 00:00:19,48.920517,28.685484,76639,1814,71737,3088,275,4,87,184
4908,,Volynska,Ukraine,2021-10-07 00:00:19,51.190885,24.870603,67606,1281,62193,4132,315,3,57,255
4913,,Dnipropetrovska,Ukraine,2021-10-07 00:00:19,48.301142,34.844169,153874,4944,136915,12015,964,23,550,391
4912,,Donetska,Ukraine,2021-10-07 00:00:19,48.047635,37.674086,104764,2702,93749,8313,761,30,357,374
4914,,Zhytomyrskа,Ukraine,2021-10-07 00:00:19,50.639546,28.475602,96407,1982,89272,5153,382,15,129,238
4915,,Zakarpatska,Ukraine,2021-10-07 00:00:19,48.403718,23.275854,64308,1644,61136,1528,141,6,14,121
4891,,Zaporizka,Ukraine,2021-10-07 00:00:19,47.26706,35.700061,116940,2708,105941,8291,783,16,146,621
4892,,Ivano-Frankivska,Ukraine,2021-10-07 00:00:19,48.701932,24.619344,92921,2222,87535,3164,305,11,164,130
4910,,Kyivska,Ukraine,2021-10-07 00:00:19,50.299214,30.455333,135993,2913,127906,5174,442,13,211,218
4893,,Kirovohradska,Ukraine,2021-10-07 00:00:19,48.472378,32.081666,22032,901,20280,851,76,2,10,64
4894,,Luhanska,Ukraine,2021-10-07 00:00:19,48.985624,39.018116,35968,1154,28832,5982,576,18,175,383
4895,,Lvivska,Ukraine,2021-10-07 00:00:19,49.717422,23.916561,154078,3965,137694,12419,645,12,201,432
4896,,Mykolaivska,Ukraine,2021-10-07 00:00:19,47.438413,31.778998,75453,1985,70599,2869,367,4,169,194
4909,Kyiv,Kyivska,Ukraine,2021-10-07 00:00:19,50.448668,30.547911,237337,5474,221870,9993,792,11,212,569
4911,,Odeska,Ukraine,2021-10-07 00:00:19,46.518829,30.602712,157756,3346,142401,12009,1076,38,59,979
4897,,Poltavska,Ukraine,2021-10-07 00:00:19,49.732656,33.778584,83780,1959,78340,3481,475,3,213,259
4898,,Rivnenska,Ukraine,2021-10-07 00:00:19,51.039594,26.391115,86779,1310,81398,4071,509,8,287,214
4899,,Sumska,Ukraine,2021-10-07 00:00:19,51.10612,34.12381,85511,1472,79636,4403,441,17,162,262
4900,,Ternopilska,Ukraine,2021-10-07 00:00:19,49.402088,25.64818,78027,1350,72880,3797,292,10,186,96
4901,,Kharkivska,Ukraine,2021-10-07 00:00:19,49.615098,36.504888,171615,4044,151385,16186,1163,26,544,593
4902,,Khersonska,Ukraine,2021-10-07 00:00:19,46.673984,33.53598,44275,1365,38253,4657,423,10,166,247
4903,,Khmelnytska,Ukraine,2021-10-07 00:00:19,49.507456,26.929458,97786,2066,90161,5559,549,7,147,395
4904,,Cherkaska,Ukraine,2021-10-07 00:00:19,49.260159,31.352536,88473,1390,82783,4300,392,13,156,223
4905,,Chernivetska,Ukraine,2021-10-07 00:00:19,48.268275,25.976996,92050,2088,82614,7348,484,10,228,246
4906,,Chernihivska,Ukraine,2021-10-07 00:00:19,51.355018,32.004509,62146,1447,57872,2827,34,10,0,24
