FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Confirmed_delta,Deaths_delta,Recovered_delta,Active_delta
4907,,Vinnytsia,Ukraine,2020-06-12 00:00:19,48.920517,28.685484,1236,20,808,408,44,0,41,3
4908,,Volynska,Ukraine,2020-06-12 00:00:19,51.190885,24.870603,1266,38,330,898,52,1,20,31
4913,,Dnipropetrovska,Ukraine,2020-06-12 00:00:19,48.301142,34.844169,981,22,695,264,8,0,22,-14
4912,,Donetska,Ukraine,2020-06-12 00:00:19,48.047635,37.674086,269,6,122,141,23,0,1,22
4914,,Zhytomyrskа,Ukraine,2020-06-12 00:00:19,50.639546,28.475602,992,17,520,455,19,0,19,0
4915,,Zakarpatska,Ukraine,2020-06-12 00:00:19,48.403718,23.275854,1471,35,634,802,23,2,6,15
4891,,Zaporizka,Ukraine,2020-06-12 00:00:19,47.26706,35.700061,510,15,303,192,8,0,7,1
4892,,Ivano-Frankivska,Ukraine,2020-06-12 00:00:19,48.701932,24.619344,1649,90,992,567,27,1,0,26
4910,,Kyivska,Ukraine,2020-06-12 00:00:19,50.299214,30.455333,1919,38,616,1265,54,0,21,33
4893,,Kirovohradska,Ukraine,2020-06-12 00:00:19,48.472378,32.081666,563,30,447,86,1,0,24,-23
4894,,Luhanska,Ukraine,2020-06-12 00:00:19,48.985624,39.018116,54,0,44,10,0,0,1,-1
4895,,Lvivska,Ukraine,2020-06-12 00:00:19,49.717422,23.916561,2414,87,589,1738,125,10,32,83
4896,,Mykolaivska,Ukraine,2020-06-12 00:00:19,47.438413,31.778998,311,7,203,101,2,0,4,-2
4909,Kyiv,Kyivska,Ukraine,2020-06-12 00:00:19,50.448668,30.547911,3671,84,1053,2534,91,4,68,19
4911,,Odeska,Ukraine,2020-06-12 00:00:19,46.518829,30.602712,1045,18,421,606,17,0,3,14
4897,,Poltavska,Ukraine,2020-06-12 00:00:19,49.732656,33.778584,276,13,256,7,0,0,0,0
4898,,Rivnenska,Ukraine,2020-06-12 00:00:19,51.039594,26.391115,2175,45,1164,966,53,0,49,4
4899,,Sumska,Ukraine,2020-06-12 00:00:19,51.10612,34.12381,203,5,159,39,5,0,0,5
4900,,Ternopilska,Ukraine,2020-06-12 00:00:19,49.402088,25.64818,1349,26,995,328,36,0,8,28
4901,,Kharkivska,Ukraine,2020-06-12 00:00:19,49.615098,36.504888,1374,55,657,662,36,1,31,4
4902,,Khersonska,Ukraine,2020-06-12 00:00:19,46.673984,33.53598,179,3,173,3,0,0,1,-1
4903,,Khmelnytska,Ukraine,2020-06-12 00:00:19,49.507456,26.929458,523,14,355,154,3,0,7,-4
4904,,Cherkaska,Ukraine,2020-06-12 00:00:19,49.260159,31.352536,506,19,348,139,5,0,2,3
4905,,Chernivetska,Ukraine,2020-06-12 00:00:19,48.268275,25.976996,3793,159,1176,2458,36,2,5,29
4906,,Chernihivska,Ukraine,2020-06-12 00:00:19,51.355018,32.004509,341,8,81,252,21,0,0,21
