FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Confirmed_delta,Deaths_delta,Recovered_delta,Active_delta
4907,,Vinnytsia,Ukraine,2020-09-19 00:00:19,48.920517,28.685484,5114,98,3413,1603,75,0,30,45
4908,,Volynska,Ukraine,2020-09-19 00:00:19,51.190885,24.870603,6689,143,4736,1810,96,3,103,-10
4913,,Dnipropetrovska,Ukraine,2020-09-19 00:00:19,48.301142,34.844169,3765,86,1777,1902,112,3,58,51
4912,,Donetska,Ukraine,2020-09-19 00:00:19,48.047635,37.674086,2313,35,974,1304,41,0,0,41
4914,,Zhytomyrskа,Ukraine,2020-09-19 00:00:19,50.639546,28.475602,4774,89,2379,2306,118,0,18,100
4915,,Zakarpatska,Ukraine,2020-09-19 00:00:19,48.403718,23.275854,9031,289,4012,4730,100,0,88,12
4891,,Zaporizka,Ukraine,2020-09-19 00:00:19,47.26706,35.700061,2748,42,1075,1631,75,5,20,50
4892,,Ivano-Frankivska,Ukraine,2020-09-19 00:00:19,48.701932,24.619344,12031,274,5219,6538,175,1,150,24
4910,,Kyivska,Ukraine,2020-09-19 00:00:19,50.299214,30.455333,7476,150,4889,2437,134,4,38,92
4893,,Kirovohradska,Ukraine,2020-09-19 00:00:19,48.472378,32.081666,967,52,772,143,16,1,3,12
4894,,Luhanska,Ukraine,2020-09-19 00:00:19,48.985624,39.018116,706,5,365,336,17,0,26,-9
4895,,Lvivska,Ukraine,2020-09-19 00:00:19,49.717422,23.916561,17869,507,5901,11461,205,10,215,-20
4896,,Mykolaivska,Ukraine,2020-09-19 00:00:19,47.438413,31.778998,2320,56,777,1487,68,3,10,55
4909,Kyiv,Kyivska,Ukraine,2020-09-19 00:00:19,50.448668,30.547911,18740,304,5742,12694,291,8,141,142
4911,,Odeska,Ukraine,2020-09-19 00:00:19,46.518829,30.602712,10924,158,2424,8342,322,3,53,266
4897,,Poltavska,Ukraine,2020-09-19 00:00:19,49.732656,33.778584,1390,33,687,670,27,0,3,24
4898,,Rivnenska,Ukraine,2020-09-19 00:00:19,51.039594,26.391115,10917,149,8388,2380,120,1,189,-70
4899,,Sumska,Ukraine,2020-09-19 00:00:19,51.10612,34.12381,2807,49,1256,1502,83,7,47,29
4900,,Ternopilska,Ukraine,2020-09-19 00:00:19,49.402088,25.64818,10705,128,4663,5914,311,6,140,165
4901,,Kharkivska,Ukraine,2020-09-19 00:00:19,49.615098,36.504888,14264,291,4102,9871,349,4,69,276
4902,,Khersonska,Ukraine,2020-09-19 00:00:19,46.673984,33.53598,766,20,411,335,29,1,13,15
4903,,Khmelnytska,Ukraine,2020-09-19 00:00:19,49.507456,26.929458,4339,89,2010,2240,141,3,44,94
4904,,Cherkaska,Ukraine,2020-09-19 00:00:19,49.260159,31.352536,2891,47,1308,1536,71,0,36,35
4905,,Chernivetska,Ukraine,2020-09-19 00:00:19,48.268275,25.976996,12793,328,7468,4997,153,3,79,71
4906,,Chernihivska,Ukraine,2020-09-19 00:00:19,51.355018,32.004509,3133,46,738,2349,99,2,0,97
