FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Confirmed_delta,Deaths_delta,Recovered_delta,Active_delta
4907,,Vinnytsia,Ukraine,2020-07-18 00:00:19,48.920517,28.685484,2253,38,1711,504,32,0,38,-6
4908,,Volynska,Ukraine,2020-07-18 00:00:19,51.190885,24.870603,3188,74,2000,1114,41,0,46,-5
4913,,Dnipropetrovska,Ukraine,2020-07-18 00:00:19,48.301142,34.844169,1174,24,1057,93,11,0,2,9
4912,,Donetska,Ukraine,2020-07-18 00:00:19,48.047635,37.674086,781,10,298,473,5,0,4,1
4914,,Zhytomyrskа,Ukraine,2020-07-18 00:00:19,50.639546,28.475602,1580,34,1234,312,11,0,8,3
4915,,Zakarpatska,Ukraine,2020-07-18 00:00:19,48.403718,23.275854,4229,145,1499,2585,63,2,94,-33
4891,,Zaporizka,Ukraine,2020-07-18 00:00:19,47.26706,35.700061,658,20,535,103,16,0,0,16
4892,,Ivano-Frankivska,Ukraine,2020-07-18 00:00:19,48.701932,24.619344,3309,119,1286,1904,67,3,27,37
4910,,Kyivska,Ukraine,2020-07-18 00:00:19,50.299214,30.455333,3184,59,2154,971,40,0,14,26
4893,,Kirovohradska,Ukraine,2020-07-18 00:00:19,48.472378,32.081666,677,33,601,43,2,0,6,-4
4894,,Luhanska,Ukraine,2020-07-18 00:00:19,48.985624,39.018116,100,1,76,23,2,0,2,0
4895,,Lvivska,Ukraine,2020-07-18 00:00:19,49.717422,23.916561,7754,203,1305,6246,132,4,63,65
4896,,Mykolaivska,Ukraine,2020-07-18 00:00:19,47.438413,31.778998,504,12,401,91,6,0,5,1
4909,Kyiv,Kyivska,Ukraine,2020-07-18 00:00:19,50.448668,30.547911,6689,126,2320,4243,76,0,160,-84
4911,,Odeska,Ukraine,2020-07-18 00:00:19,46.518829,30.602712,2435,32,1081,1322,60,0,26,34
4897,,Poltavska,Ukraine,2020-07-18 00:00:19,49.732656,33.778584,347,13,307,27,4,0,0,4
4898,,Rivnenska,Ukraine,2020-07-18 00:00:19,51.039594,26.391115,4940,84,3395,1461,88,1,148,-61
4899,,Sumska,Ukraine,2020-07-18 00:00:19,51.10612,34.12381,352,6,304,42,4,0,0,4
4900,,Ternopilska,Ukraine,2020-07-18 00:00:19,49.402088,25.64818,2358,34,1504,820,21,0,35,-14
4901,,Kharkivska,Ukraine,2020-07-18 00:00:19,49.615098,36.504888,2909,114,1570,1225,64,0,23,41
4902,,Khersonska,Ukraine,2020-07-18 00:00:19,46.673984,33.53598,207,3,190,14,1,0,1,0
4903,,Khmelnytska,Ukraine,2020-07-18 00:00:19,49.507456,26.929458,942,22,804,116,12,0,15,-3
4904,,Cherkaska,Ukraine,2020-07-18 00:00:19,49.260159,31.352536,800,32,611,157,17,0,2,15
4905,,Chernivetska,Ukraine,2020-07-18 00:00:19,48.268275,25.976996,5262,204,3217,1841,30,1,102,-73
4906,,Chernihivska,Ukraine,2020-07-18 00:00:19,51.355018,32.004509,632,14,309,309,4,0,17,-13
