FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Confirmed_delta,Deaths_delta,Recovered_delta,Active_delta
4907,,Vinnytsia,Ukraine,2021-04-30 00:00:19,48.920517,28.685484,67607,1495,50608,15504,276,9,684,-417
4908,,Volynska,Ukraine,2021-04-30 00:00:19,51.190885,24.870603,56958,991,48385,7582,345,9,493,-157
4913,,Dnipropetrovska,Ukraine,2021-04-30 00:00:19,48.301142,34.844169,120225,3305,96967,19953,1021,42,1464,-485
4912,,Donetska,Ukraine,2021-04-30 00:00:19,48.047635,37.674086,79066,1721,60572,16773,809,27,1031,-249
4914,,Zhytomyrskа,Ukraine,2021-04-30 00:00:19,50.639546,28.475602,83931,1581,66907,15443,385,8,858,-481
4915,,Zakarpatska,Ukraine,2021-04-30 00:00:19,48.403718,23.275854,59936,1515,53214,5207,141,6,394,-259
4891,,Zaporizka,Ukraine,2021-04-30 00:00:19,47.26706,35.700061,95406,1899,77184,16323,546,21,883,-358
4892,,Ivano-Frankivska,Ukraine,2021-04-30 00:00:19,48.701932,24.619344,83766,1952,77089,4725,184,10,344,-170
4910,,Kyivska,Ukraine,2021-04-30 00:00:19,50.299214,30.455333,118138,2342,98278,17518,341,26,1457,-1142
4893,,Kirovohradska,Ukraine,2021-04-30 00:00:19,48.472378,32.081666,18017,645,10788,6584,174,7,148,19
4894,,Luhanska,Ukraine,2021-04-30 00:00:19,48.985624,39.018116,23214,710,18527,3977,271,10,208,53
4895,,Lvivska,Ukraine,2021-04-30 00:00:19,49.717422,23.916561,128998,3246,100933,24819,667,15,1699,-1047
4896,,Mykolaivska,Ukraine,2021-04-30 00:00:19,47.438413,31.778998,62848,1597,52353,8898,311,15,775,-479
4909,Kyiv,Kyivska,Ukraine,2021-04-30 00:00:19,50.448668,30.547911,194630,4567,122831,67232,940,30,784,126
4911,,Odeska,Ukraine,2021-04-30 00:00:19,46.518829,30.602712,133129,2518,99325,31286,518,34,1147,-663
4897,,Poltavska,Ukraine,2021-04-30 00:00:19,49.732656,33.778584,71184,1529,59466,10189,666,8,267,391
4898,,Rivnenska,Ukraine,2021-04-30 00:00:19,51.039594,26.391115,71111,1007,61552,8552,386,6,904,-524
4899,,Sumska,Ukraine,2021-04-30 00:00:19,51.10612,34.12381,72398,1117,62115,9166,429,8,374,47
4900,,Ternopilska,Ukraine,2021-04-30 00:00:19,49.402088,25.64818,65810,1055,56902,7853,312,8,639,-335
4901,,Kharkivska,Ukraine,2021-04-30 00:00:19,49.615098,36.504888,134970,2706,106391,25873,1203,33,1051,119
4902,,Khersonska,Ukraine,2021-04-30 00:00:19,46.673984,33.53598,30887,896,25016,4975,277,0,339,-62
4903,,Khmelnytska,Ukraine,2021-04-30 00:00:19,49.507456,26.929458,83080,1598,68187,13295,461,20,864,-423
4904,,Cherkaska,Ukraine,2021-04-30 00:00:19,49.260159,31.352536,74123,1024,59492,13607,444,21,615,-192
4905,,Chernivetska,Ukraine,2021-04-30 00:00:19,48.268275,25.976996,77002,1640,61101,14261,131,3,537,-409
4906,,Chernihivska,Ukraine,2021-04-30 00:00:19,51.355018,32.004509,53031,1122,41150,10759,389,11,483,-105
