FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Confirmed_delta,Deaths_delta,Recovered_delta,Active_delta
4907,,Vinnytsia,Ukraine,2020-07-17 00:00:19,48.920517,28.685484,2221,38,1673,510,27,0,50,-23
4908,,Volynska,Ukraine,2020-07-17 00:00:19,51.190885,24.870603,3147,74,1954,1119,30,0,114,-84
4913,,Dnipropetrovska,Ukraine,2020-07-17 00:00:19,48.301142,34.844169,1163,24,1055,84,8,0,10,-2
4912,,Donetska,Ukraine,2020-07-17 00:00:19,48.047635,37.674086,776,10,294,472,9,0,13,-4
4914,,Zhytomyrskа,Ukraine,2020-07-17 00:00:19,50.639546,28.475602,1569,34,1226,309,19,0,22,-3
4915,,Zakarpatska,Ukraine,2020-07-17 00:00:19,48.403718,23.275854,4166,143,1405,2618,54,1,26,27
4891,,Zaporizka,Ukraine,2020-07-17 00:00:19,47.26706,35.700061,642,20,535,87,11,0,9,2
4892,,Ivano-Frankivska,Ukraine,2020-07-17 00:00:19,48.701932,24.619344,3242,116,1259,1867,64,3,13,48
4910,,Kyivska,Ukraine,2020-07-17 00:00:19,50.299214,30.455333,3144,59,2140,945,16,1,86,-71
4893,,Kirovohradska,Ukraine,2020-07-17 00:00:19,48.472378,32.081666,675,33,595,47,1,0,2,-1
4894,,Luhanska,Ukraine,2020-07-17 00:00:19,48.985624,39.018116,98,1,74,23,1,0,0,1
4895,,Lvivska,Ukraine,2020-07-17 00:00:19,49.717422,23.916561,7622,199,1242,6181,197,6,75,116
4896,,Mykolaivska,Ukraine,2020-07-17 00:00:19,47.438413,31.778998,498,12,396,90,4,0,7,-3
4909,Kyiv,Kyivska,Ukraine,2020-07-17 00:00:19,50.448668,30.547911,6613,126,2160,4327,116,0,0,116
4911,,Odeska,Ukraine,2020-07-17 00:00:19,46.518829,30.602712,2375,32,1055,1288,61,2,24,35
4897,,Poltavska,Ukraine,2020-07-17 00:00:19,49.732656,33.778584,343,13,307,23,6,0,2,4
4898,,Rivnenska,Ukraine,2020-07-17 00:00:19,51.039594,26.391115,4852,83,3247,1522,70,0,146,-76
4899,,Sumska,Ukraine,2020-07-17 00:00:19,51.10612,34.12381,348,6,304,38,2,0,4,-2
4900,,Ternopilska,Ukraine,2020-07-17 00:00:19,49.402088,25.64818,2337,34,1469,834,45,0,23,22
4901,,Kharkivska,Ukraine,2020-07-17 00:00:19,49.615098,36.504888,2845,114,1547,1184,58,3,39,16
4902,,Khersonska,Ukraine,2020-07-17 00:00:19,46.673984,33.53598,206,3,189,14,1,0,3,-2
4903,,Khmelnytska,Ukraine,2020-07-17 00:00:19,49.507456,26.929458,930,22,789,119,8,0,11,-3
4904,,Cherkaska,Ukraine,2020-07-17 00:00:19,49.260159,31.352536,783,32,609,142,12,0,4,8
4905,,Chernivetska,Ukraine,2020-07-17 00:00:19,48.268275,25.976996,5232,203,3115,1914,24,2,117,-95
4906,,Chernihivska,Ukraine,2020-07-17 00:00:19,51.355018,32.004509,628,14,292,322,4,0,0,4
