FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Confirmed_delta,Deaths_delta,Recovered_delta,Active_delta
4907,,Vinnytsia,Ukraine,2021-03-07 00:00:19,48.920517,28.685484,40597,706,28651,11240,714,5,212,497
4908,,Volynska,Ukraine,2021-03-07 00:00:19,51.190885,24.870603,41131,655,37517,2959,195,1,73,121
4913,,Dnipropetrovska,Ukraine,2021-03-07 00:00:19,48.301142,34.844169,75664,2033,69076,4555,488,10,118,360
4912,,Donetska,Ukraine,2021-03-07 00:00:19,48.047635,37.674086,48505,1076,44784,2645,193,0,92,101
4914,,Zhytomyrskа,Ukraine,2021-03-07 00:00:19,50.639546,28.475602,54298,874,45225,8199,749,7,132,610
4915,,Zakarpatska,Ukraine,2021-03-07 00:00:19,48.403718,23.275854,43504,982,32116,10406,665,14,453,198
4891,,Zaporizka,Ukraine,2021-03-07 00:00:19,47.26706,35.700061,70598,1210,65871,3517,188,13,56,119
4892,,Ivano-Frankivska,Ukraine,2021-03-07 00:00:19,48.701932,24.619344,68437,1244,50860,16333,676,16,260,400
4910,,Kyivska,Ukraine,2021-03-07 00:00:19,50.299214,30.455333,78263,1286,70325,6652,595,7,236,352
4893,,Kirovohradska,Ukraine,2021-03-07 00:00:19,48.472378,32.081666,10951,383,8171,2397,47,2,12,33
4894,,Luhanska,Ukraine,2021-03-07 00:00:19,48.985624,39.018116,15204,476,14117,611,35,3,56,-24
4895,,Lvivska,Ukraine,2021-03-07 00:00:19,49.717422,23.916561,81752,2320,70760,8672,531,3,344,184
4896,,Mykolaivska,Ukraine,2021-03-07 00:00:19,47.438413,31.778998,43485,808,37719,4958,337,3,155,179
4909,Kyiv,Kyivska,Ukraine,2021-03-07 00:00:19,50.448668,30.547911,141598,2753,96287,42558,682,18,138,526
4911,,Odeska,Ukraine,2021-03-07 00:00:19,46.518829,30.602712,87957,1468,79738,6751,375,5,74,296
4897,,Poltavska,Ukraine,2021-03-07 00:00:19,49.732656,33.778584,47038,999,42911,3128,112,4,83,25
4898,,Rivnenska,Ukraine,2021-03-07 00:00:19,51.039594,26.391115,49880,637,47250,1993,198,4,100,94
4899,,Sumska,Ukraine,2021-03-07 00:00:19,51.10612,34.12381,49584,694,46498,2392,194,5,43,146
4900,,Ternopilska,Ukraine,2021-03-07 00:00:19,49.402088,25.64818,43974,619,39362,3993,357,4,152,201
4901,,Kharkivska,Ukraine,2021-03-07 00:00:19,49.615098,36.504888,86127,1636,77696,6795,522,6,115,401
4902,,Khersonska,Ukraine,2021-03-07 00:00:19,46.673984,33.53598,21939,651,20409,879,62,0,17,45
4903,,Khmelnytska,Ukraine,2021-03-07 00:00:19,49.507456,26.929458,49708,915,45454,3339,376,7,168,201
4904,,Cherkaska,Ukraine,2021-03-07 00:00:19,49.260159,31.352536,49517,655,46209,2653,143,6,59,78
4905,,Chernivetska,Ukraine,2021-03-07 00:00:19,48.268275,25.976996,57837,1070,45867,10900,522,10,149,363
4906,,Chernihivska,Ukraine,2021-03-07 00:00:19,51.355018,32.004509,36513,769,31500,4244,188,3,54,131
