FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Confirmed_delta,Deaths_delta,Recovered_delta,Active_delta
4907,,Vinnytsia,Ukraine,2020-11-26 00:00:19,48.920517,28.685484,15984,277,9005,6702,326,6,114,206
4908,,Volynska,Ukraine,2020-11-26 00:00:19,51.190885,24.870603,22516,412,14892,7212,295,9,375,-89
4913,,Dnipropetrovska,Ukraine,2020-11-26 00:00:19,48.301142,34.844169,31861,787,13092,17982,1255,24,749,482
4912,,Donetska,Ukraine,2020-11-26 00:00:19,48.047635,37.674086,20868,376,10131,10361,370,14,478,-122
4914,,Zhytomyrskа,Ukraine,2020-11-26 00:00:19,50.639546,28.475602,27368,467,16438,10463,211,11,776,-576
4915,,Zakarpatska,Ukraine,2020-11-26 00:00:19,48.403718,23.275854,22150,512,12476,9162,247,2,353,-108
4891,,Zaporizka,Ukraine,2020-11-26 00:00:19,47.26706,35.700061,26328,267,4374,21687,1086,11,262,813
4892,,Ivano-Frankivska,Ukraine,2020-11-26 00:00:19,48.701932,24.619344,33409,589,13027,19793,583,9,110,464
4910,,Kyivska,Ukraine,2020-11-26 00:00:19,50.299214,30.455333,33262,644,11673,20945,961,15,284,662
4893,,Kirovohradska,Ukraine,2020-11-26 00:00:19,48.472378,32.081666,4557,143,2168,2246,102,3,52,47
4894,,Luhanska,Ukraine,2020-11-26 00:00:19,48.985624,39.018116,5793,152,3497,2144,74,9,236,-171
4895,,Lvivska,Ukraine,2020-11-26 00:00:19,49.717422,23.916561,42874,1183,27590,14101,824,7,368,449
4896,,Mykolaivska,Ukraine,2020-11-26 00:00:19,47.438413,31.778998,16229,283,5150,10796,484,7,103,374
4909,Kyiv,Kyivska,Ukraine,2020-11-26 00:00:19,50.448668,30.547911,62620,1196,21437,39987,980,23,346,611
4911,,Odeska,Ukraine,2020-11-26 00:00:19,46.518829,30.602712,39742,529,8769,30444,976,12,39,925
4897,,Poltavska,Ukraine,2020-11-26 00:00:19,49.732656,33.778584,19679,412,9930,9337,536,20,334,182
4898,,Rivnenska,Ukraine,2020-11-26 00:00:19,51.039594,26.391115,28860,362,21589,6909,399,2,374,23
4899,,Sumska,Ukraine,2020-11-26 00:00:19,51.10612,34.12381,24811,332,9158,15321,915,15,267,633
4900,,Ternopilska,Ukraine,2020-11-26 00:00:19,49.402088,25.64818,26329,363,20522,5444,278,3,248,27
4901,,Kharkivska,Ukraine,2020-11-26 00:00:19,49.615098,36.504888,52538,723,25081,26734,546,8,1338,-800
4902,,Khersonska,Ukraine,2020-11-26 00:00:19,46.673984,33.53598,9141,186,3987,4968,272,3,196,73
4903,,Khmelnytska,Ukraine,2020-11-26 00:00:19,49.507456,26.929458,27114,410,15454,11250,490,5,365,120
4904,,Cherkaska,Ukraine,2020-11-26 00:00:19,49.260159,31.352536,19826,176,8484,11166,788,4,221,563
4905,,Chernivetska,Ukraine,2020-11-26 00:00:19,48.268275,25.976996,32067,620,14446,17001,357,7,339,11
4906,,Chernihivska,Ukraine,2020-11-26 00:00:19,51.355018,32.004509,15932,91,5408,10433,527,0,93,434
