FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Confirmed_delta,Deaths_delta,Recovered_delta,Active_delta
4907,,Vinnytsia,Ukraine,2021-05-08 00:00:19,48.920517,28.685484,68591,1563,53516,13512,205,10,489,-294
4908,,Volynska,Ukraine,2021-05-08 00:00:19,51.190885,24.870603,58241,1034,51543,5664,267,11,948,-692
4913,,Dnipropetrovska,Ukraine,2021-05-08 00:00:19,48.301142,34.844169,124662,3490,102900,18272,622,38,636,-52
4912,,Donetska,Ukraine,2021-05-08 00:00:19,48.047635,37.674086,82565,1840,67077,13648,571,23,1165,-617
4914,,Zhytomyrskа,Ukraine,2021-05-08 00:00:19,50.639546,28.475602,85153,1639,70163,13351,228,15,623,-410
4915,,Zakarpatska,Ukraine,2021-05-08 00:00:19,48.403718,23.275854,60376,1540,55546,3290,124,6,375,-257
4891,,Zaporizka,Ukraine,2021-05-08 00:00:19,47.26706,35.700061,97738,2015,81243,14480,494,22,1095,-623
4892,,Ivano-Frankivska,Ukraine,2021-05-08 00:00:19,48.701932,24.619344,84341,1982,78915,3444,146,8,229,-91
4910,,Kyivska,Ukraine,2021-05-08 00:00:19,50.299214,30.455333,119980,2458,104067,13455,366,30,1420,-1084
4893,,Kirovohradska,Ukraine,2021-05-08 00:00:19,48.472378,32.081666,18818,695,11410,6713,67,5,135,-73
4894,,Luhanska,Ukraine,2021-05-08 00:00:19,48.985624,39.018116,24220,772,19561,3887,232,19,243,-30
4895,,Lvivska,Ukraine,2021-05-08 00:00:19,49.717422,23.916561,130836,3345,107135,20356,256,16,1409,-1169
4896,,Mykolaivska,Ukraine,2021-05-08 00:00:19,47.438413,31.778998,64376,1686,59361,3329,257,8,768,-519
4909,Kyiv,Kyivska,Ukraine,2021-05-08 00:00:19,50.448668,30.547911,197968,4750,126618,66600,611,30,1303,-722
4911,,Odeska,Ukraine,2021-05-08 00:00:19,46.518829,30.602712,135610,2642,104706,28262,344,26,1092,-774
4897,,Poltavska,Ukraine,2021-05-08 00:00:19,49.732656,33.778584,73296,1611,63536,8149,387,22,854,-489
4898,,Rivnenska,Ukraine,2021-05-08 00:00:19,51.039594,26.391115,73017,1069,65388,6560,438,7,902,-471
4899,,Sumska,Ukraine,2021-05-08 00:00:19,51.10612,34.12381,73911,1166,65914,6831,337,16,1108,-787
4900,,Ternopilska,Ukraine,2021-05-08 00:00:19,49.402088,25.64818,67015,1099,59529,6387,163,5,445,-287
4901,,Kharkivska,Ukraine,2021-05-08 00:00:19,49.615098,36.504888,139398,2865,113383,23150,991,16,1107,-132
4902,,Khersonska,Ukraine,2021-05-08 00:00:19,46.673984,33.53598,31938,954,26014,4970,215,8,154,53
4903,,Khmelnytska,Ukraine,2021-05-08 00:00:19,49.507456,26.929458,84918,1673,72844,10401,408,14,999,-605
4904,,Cherkaska,Ukraine,2021-05-08 00:00:19,49.260159,31.352536,76674,1082,62689,12903,415,8,654,-247
4905,,Chernivetska,Ukraine,2021-05-08 00:00:19,48.268275,25.976996,77682,1687,65165,10830,116,5,623,-512
4906,,Chernihivska,Ukraine,2021-05-08 00:00:19,51.355018,32.004509,54104,1173,42939,9992,144,11,677,-544
