FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Confirmed_delta,Deaths_delta,Recovered_delta,Active_delta
4907,,Vinnytsia,Ukraine,2020-10-18 00:00:19,48.920517,28.685484,8233,142,4985,3106,163,2,51,110
4908,,Volynska,Ukraine,2020-10-18 00:00:19,51.190885,24.870603,10682,220,6259,4203,167,2,65,100
4913,,Dnipropetrovska,Ukraine,2020-10-18 00:00:19,48.301142,34.844169,10721,239,4732,5750,464,18,108,338
4912,,Donetska,Ukraine,2020-10-18 00:00:19,48.047635,37.674086,6776,66,1186,5524,118,0,17,101
4914,,Zhytomyrskа,Ukraine,2020-10-18 00:00:19,50.639546,28.475602,9539,168,5365,4006,253,5,152,96
4915,,Zakarpatska,Ukraine,2020-10-18 00:00:19,48.403718,23.275854,11626,329,5682,5615,165,1,27,137
4891,,Zaporizka,Ukraine,2020-10-18 00:00:19,47.26706,35.700061,6259,95,1796,4368,97,0,29,68
4892,,Ivano-Frankivska,Ukraine,2020-10-18 00:00:19,48.701932,24.619344,16377,379,8473,7525,214,4,222,-12
4910,,Kyivska,Ukraine,2020-10-18 00:00:19,50.299214,30.455333,12439,271,7104,5064,232,10,109,113
4893,,Kirovohradska,Ukraine,2020-10-18 00:00:19,48.472378,32.081666,1512,68,1018,426,44,1,6,37
4894,,Luhanska,Ukraine,2020-10-18 00:00:19,48.985624,39.018116,2334,36,737,1561,105,4,0,101
4895,,Lvivska,Ukraine,2020-10-18 00:00:19,49.717422,23.916561,24539,681,9295,14563,368,9,173,186
4896,,Mykolaivska,Ukraine,2020-10-18 00:00:19,47.438413,31.778998,5567,110,1353,4104,231,0,0,231
4909,Kyiv,Kyivska,Ukraine,2020-10-18 00:00:19,50.448668,30.547911,30010,569,10661,18780,598,12,186,400
4911,,Odeska,Ukraine,2020-10-18 00:00:19,46.518829,30.602712,18519,286,2857,15376,506,7,4,495
4897,,Poltavska,Ukraine,2020-10-18 00:00:19,49.732656,33.778584,5738,97,1889,3752,269,5,125,139
4898,,Rivnenska,Ukraine,2020-10-18 00:00:19,51.039594,26.391115,15646,196,12136,3314,248,0,199,49
4899,,Sumska,Ukraine,2020-10-18 00:00:19,51.10612,34.12381,8524,122,2656,5746,272,8,61,203
4900,,Ternopilska,Ukraine,2020-10-18 00:00:19,49.402088,25.64818,17160,219,11919,5022,244,4,199,41
4901,,Kharkivska,Ukraine,2020-10-18 00:00:19,49.615098,36.504888,27929,439,5593,21897,472,5,58,409
4902,,Khersonska,Ukraine,2020-10-18 00:00:19,46.673984,33.53598,2380,49,1042,1289,116,6,93,17
4903,,Khmelnytska,Ukraine,2020-10-18 00:00:19,49.507456,26.929458,10480,175,4345,5960,382,0,217,165
4904,,Cherkaska,Ukraine,2020-10-18 00:00:19,49.260159,31.352536,6619,69,2560,3990,232,1,8,223
4905,,Chernivetska,Ukraine,2020-10-18 00:00:19,48.268275,25.976996,17450,405,9257,7788,247,5,85,157
4906,,Chernihivska,Ukraine,2020-10-18 00:00:19,51.355018,32.004509,6582,87,1213,5282,203,0,0,203
