FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Confirmed_delta,Deaths_delta,Recovered_delta,Active_delta
4907,,Vinnytsia,Ukraine,2020-08-03 00:00:19,48.920517,28.685484,2790,52,2075,663,24,0,0,24
4908,,Volynska,Ukraine,2020-08-03 00:00:19,51.190885,24.870603,3888,84,2788,1016,60,0,0,60
4913,,Dnipropetrovska,Ukraine,2020-08-03 00:00:19,48.301142,34.844169,1421,28,1116,277,8,0,0,8
4912,,Donetska,Ukraine,2020-08-03 00:00:19,48.047635,37.674086,898,12,657,229,9,0,0,9
4914,,Zhytomyrskа,Ukraine,2020-08-03 00:00:19,50.639546,28.475602,1921,38,1485,398,25,1,0,24
4915,,Zakarpatska,Ukraine,2020-08-03 00:00:19,48.403718,23.275854,5267,201,2079,2987,57,3,21,33
4891,,Zaporizka,Ukraine,2020-08-03 00:00:19,47.26706,35.700061,823,21,613,189,23,0,16,7
4892,,Ivano-Frankivska,Ukraine,2020-08-03 00:00:19,48.701932,24.619344,4795,141,1670,2984,115,0,11,104
4910,,Kyivska,Ukraine,2020-08-03 00:00:19,50.299214,30.455333,3823,64,2697,1062,36,0,0,36
4893,,Kirovohradska,Ukraine,2020-08-03 00:00:19,48.472378,32.081666,710,36,639,35,6,0,4,2
4894,,Luhanska,Ukraine,2020-08-03 00:00:19,48.985624,39.018116,128,1,102,25,1,0,2,-1
4895,,Lvivska,Ukraine,2020-08-03 00:00:19,49.717422,23.916561,9783,265,2372,7146,112,5,18,89
4896,,Mykolaivska,Ukraine,2020-08-03 00:00:19,47.438413,31.778998,621,14,446,161,19,0,0,19
4909,Kyiv,Kyivska,Ukraine,2020-08-03 00:00:19,50.448668,30.547911,8452,134,2994,5324,110,0,13,97
4911,,Odeska,Ukraine,2020-08-03 00:00:19,46.518829,30.602712,3414,48,1354,2012,99,1,1,97
4897,,Poltavska,Ukraine,2020-08-03 00:00:19,49.732656,33.778584,459,15,331,113,13,0,0,13
4898,,Rivnenska,Ukraine,2020-08-03 00:00:19,51.039594,26.391115,6195,94,4804,1297,84,1,52,31
4899,,Sumska,Ukraine,2020-08-03 00:00:19,51.10612,34.12381,529,8,351,170,20,0,2,18
4900,,Ternopilska,Ukraine,2020-08-03 00:00:19,49.402088,25.64818,3086,39,1807,1240,51,0,15,36
4901,,Kharkivska,Ukraine,2020-08-03 00:00:19,49.615098,36.504888,3862,132,2187,1543,76,5,12,59
4902,,Khersonska,Ukraine,2020-08-03 00:00:19,46.673984,33.53598,230,3,207,20,3,0,2,1
4903,,Khmelnytska,Ukraine,2020-08-03 00:00:19,49.507456,26.929458,1180,24,941,215,17,0,3,14
4904,,Cherkaska,Ukraine,2020-08-03 00:00:19,49.260159,31.352536,949,37,716,196,7,0,0,7
4905,,Chernivetska,Ukraine,2020-08-03 00:00:19,48.268275,25.976996,6061,216,4584,1261,97,0,63,34
4906,,Chernihivska,Ukraine,2020-08-03 00:00:19,51.355018,32.004509,883,18,528,337,40,0,0,40
