FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Confirmed_delta,Deaths_delta,Recovered_delta,Active_delta
4907,,Vinnytsia,Ukraine,2021-05-06 00:00:19,48.920517,28.685484,68239,1537,52622,14080,31,8,153,-130
4908,,Volynska,Ukraine,2021-05-06 00:00:19,51.190885,24.870603,57813,1015,49910,6888,102,2,343,-243
4913,,Dnipropetrovska,Ukraine,2021-05-06 00:00:19,48.301142,34.844169,123497,3429,101691,18377,213,17,261,-65
4912,,Donetska,Ukraine,2021-05-06 00:00:19,48.047635,37.674086,81395,1790,65156,14449,287,0,329,-42
4914,,Zhytomyrskа,Ukraine,2021-05-06 00:00:19,50.639546,28.475602,84818,1617,68867,14334,16,4,97,-85
4915,,Zakarpatska,Ukraine,2021-05-06 00:00:19,48.403718,23.275854,60180,1532,54860,3788,13,2,235,-224
4891,,Zaporizka,Ukraine,2021-05-06 00:00:19,47.26706,35.700061,96887,1973,79343,15571,85,0,370,-285
4892,,Ivano-Frankivska,Ukraine,2021-05-06 00:00:19,48.701932,24.619344,84144,1969,78511,3664,13,2,183,-172
4910,,Kyivska,Ukraine,2021-05-06 00:00:19,50.299214,30.455333,119488,2407,101842,15239,73,1,231,-159
4893,,Kirovohradska,Ukraine,2021-05-06 00:00:19,48.472378,32.081666,18709,680,11184,6845,42,4,122,-84
4894,,Luhanska,Ukraine,2021-05-06 00:00:19,48.985624,39.018116,23751,736,19016,3999,58,3,29,26
4895,,Lvivska,Ukraine,2021-05-06 00:00:19,49.717422,23.916561,130414,3297,105184,21933,48,5,448,-405
4896,,Mykolaivska,Ukraine,2021-05-06 00:00:19,47.438413,31.778998,63909,1675,57396,4838,111,13,1321,-1223
4909,Kyiv,Kyivska,Ukraine,2021-05-06 00:00:19,50.448668,30.547911,196735,4697,124611,67427,143,16,38,89
4911,,Odeska,Ukraine,2021-05-06 00:00:19,46.518829,30.602712,134937,2584,103005,29348,216,13,165,38
4897,,Poltavska,Ukraine,2021-05-06 00:00:19,49.732656,33.778584,72514,1565,61955,8994,106,2,93,11
4898,,Rivnenska,Ukraine,2021-05-06 00:00:19,51.039594,26.391115,72176,1056,63549,7571,68,5,185,-122
4899,,Sumska,Ukraine,2021-05-06 00:00:19,51.10612,34.12381,73435,1136,64360,7939,52,1,406,-355
4900,,Ternopilska,Ukraine,2021-05-06 00:00:19,49.402088,25.64818,66751,1089,58705,6957,70,4,258,-192
4901,,Kharkivska,Ukraine,2021-05-06 00:00:19,49.615098,36.504888,137863,2828,111412,23623,405,14,885,-494
4902,,Khersonska,Ukraine,2021-05-06 00:00:19,46.673984,33.53598,31598,940,25715,4943,25,31,141,-147
4903,,Khmelnytska,Ukraine,2021-05-06 00:00:19,49.507456,26.929458,84344,1640,71206,11498,136,8,660,-532
4904,,Cherkaska,Ukraine,2021-05-06 00:00:19,49.260159,31.352536,75962,1054,61426,13482,177,1,342,-166
4905,,Chernivetska,Ukraine,2021-05-06 00:00:19,48.268275,25.976996,77492,1681,63962,11849,62,5,433,-376
4906,,Chernihivska,Ukraine,2021-05-06 00:00:19,51.355018,32.004509,53935,1150,41870,10915,24,0,0,24
