FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Confirmed_delta,Deaths_delta,Recovered_delta,Active_delta
4907,,Vinnytsia,Ukraine,2020-12-27 00:00:19,48.920517,28.685484,21858,375,14161,7322,160,1,185,-26
4908,,Volynska,Ukraine,2020-12-27 00:00:19,51.190885,24.870603,32300,499,26650,5151,151,2,223,-74
4913,,Dnipropetrovska,Ukraine,2020-12-27 00:00:19,48.301142,34.844169,56356,1329,42908,12119,676,9,117,550
4912,,Donetska,Ukraine,2020-12-27 00:00:19,48.047635,37.674086,34586,678,25164,8744,361,0,279,82
4914,,Zhytomyrskа,Ukraine,2020-12-27 00:00:19,50.639546,28.475602,38219,632,30412,7175,371,4,23,344
4915,,Zakarpatska,Ukraine,2020-12-27 00:00:19,48.403718,23.275854,27754,625,22332,4797,104,2,2,100
4891,,Zaporizka,Ukraine,2020-12-27 00:00:19,47.26706,35.700061,51250,530,17701,33019,445,15,57,373
4892,,Ivano-Frankivska,Ukraine,2020-12-27 00:00:19,48.701932,24.619344,42725,793,25325,16607,114,3,1040,-929
4910,,Kyivska,Ukraine,2020-12-27 00:00:19,50.299214,30.455333,56942,931,31124,24887,568,3,649,-84
4893,,Kirovohradska,Ukraine,2020-12-27 00:00:19,48.472378,32.081666,8205,239,3819,4147,56,0,24,32
4894,,Luhanska,Ukraine,2020-12-27 00:00:19,48.985624,39.018116,9906,267,6771,2868,181,2,0,179
4895,,Lvivska,Ukraine,2020-12-27 00:00:19,49.717422,23.916561,59551,1709,43854,13988,676,11,86,579
4896,,Mykolaivska,Ukraine,2020-12-27 00:00:19,47.438413,31.778998,29117,485,13533,15099,312,7,42,263
4909,Kyiv,Kyivska,Ukraine,2020-12-27 00:00:19,50.448668,30.547911,106486,1829,37130,67527,408,13,161,234
4911,,Odeska,Ukraine,2020-12-27 00:00:19,46.518829,30.602712,68447,996,34903,32548,513,0,77,436
4897,,Poltavska,Ukraine,2020-12-27 00:00:19,49.732656,33.778584,34341,711,25844,7786,344,3,48,293
4898,,Rivnenska,Ukraine,2020-12-27 00:00:19,51.039594,26.391115,40195,494,35200,4501,216,2,26,188
4899,,Sumska,Ukraine,2020-12-27 00:00:19,51.10612,34.12381,39848,513,32324,7011,358,0,180,178
4900,,Ternopilska,Ukraine,2020-12-27 00:00:19,49.402088,25.64818,33328,450,29263,3615,153,2,79,72
4901,,Kharkivska,Ukraine,2020-12-27 00:00:19,49.615098,36.504888,67655,1047,53612,12996,238,6,651,-419
4902,,Khersonska,Ukraine,2020-12-27 00:00:19,46.673984,33.53598,16917,405,7337,9175,238,6,99,133
4903,,Khmelnytska,Ukraine,2020-12-27 00:00:19,49.507456,26.929458,38333,643,31349,6341,329,5,103,221
4904,,Cherkaska,Ukraine,2020-12-27 00:00:19,49.260159,31.352536,37321,354,19781,17186,374,7,616,-249
4905,,Chernivetska,Ukraine,2020-12-27 00:00:19,48.268275,25.976996,39293,761,27060,11472,150,7,310,-167
4906,,Chernihivska,Ukraine,2020-12-27 00:00:19,51.355018,32.004509,28943,407,14360,14176,213,11,68,134
