FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Confirmed_delta,Deaths_delta,Recovered_delta,Active_delta
4907,,Vinnytsia,Ukraine,2020-05-17 16:53:08,48.920517,28.685484,296,0,17,279,17,0,5,12
4908,,Volynska,Ukraine,2020-05-17 16:53:08,51.190885,24.870603,122,4,11,107,13,0,8,5
4913,,Dnipropetrovska,Ukraine,2020-05-17 16:53:08,48.301142,34.844169,89,1,9,79,11,0,1,10
4912,,Donetska,Ukraine,2020-05-17 16:53:08,48.047635,37.674086,12,1,6,5,0,0,0,0
4914,,Zhytomyrskа,Ukraine,2020-05-17 16:53:08,50.639546,28.475602,177,4,1,172,15,0,0,15
4915,,Zakarpatska,Ukraine,2020-05-17 16:53:08,48.403718,23.275854,150,4,12,134,34,0,0,34
4891,,Zaporizka,Ukraine,2020-05-17 16:53:08,47.26706,35.700061,118,2,12,104,3,0,0,3
4892,,Ivano-Frankivska,Ukraine,2020-05-17 16:53:08,48.701932,24.619344,427,34,27,366,26,3,9,14
4910,,Kyivska,Ukraine,2020-05-17 16:53:08,50.299214,30.455333,253,9,16,228,19,0,2,17
4893,,Kirovohradska,Ukraine,2020-05-17 16:53:08,48.472378,32.081666,218,9,6,203,20,0,5,15
4894,,Luhanska,Ukraine,2020-05-17 16:53:08,48.985624,39.018116,9,0,0,9,5,0,0,5
4895,,Lvivska,Ukraine,2020-05-17 16:53:08,49.717422,23.916561,203,8,11,184,37,2,5,30
4896,,Mykolaivska,Ukraine,2020-05-17 16:53:08,47.438413,31.778998,22,0,0,22,0,0,0,0
4909,Kyiv,Kyivska,Ukraine,2020-05-17 16:53:08,50.448668,30.547911,705,12,30,663,61,0,3,58
4911,,Odeska,Ukraine,2020-05-17 16:53:08,46.518829,30.602712,93,1,0,92,20,0,0,20
4897,,Poltavska,Ukraine,2020-05-17 16:53:08,49.732656,33.778584,41,1,4,36,14,0,1,13
4898,,Rivnenska,Ukraine,2020-05-17 16:53:08,51.039594,26.391115,240,8,8,224,36,1,0,35
4899,,Sumska,Ukraine,2020-05-17 16:53:08,51.10612,34.12381,81,4,6,71,1,0,4,-3
4900,,Ternopilska,Ukraine,2020-05-17 16:53:08,49.402088,25.64818,353,5,25,323,20,0,7,13
4901,,Kharkivska,Ukraine,2020-05-17 16:53:08,49.615098,36.504888,56,1,2,53,16,0,0,16
4902,,Khersonska,Ukraine,2020-05-17 16:53:08,46.673984,33.53598,51,1,5,45,7,0,2,5
4903,,Khmelnytska,Ukraine,2020-05-17 16:53:08,49.507456,26.929458,38,2,3,33,1,0,0,1
4904,,Cherkaska,Ukraine,2020-05-17 16:53:08,49.260159,31.352536,137,2,7,128,27,0,3,24
4905,,Chernivetska,Ukraine,2020-05-17 16:53:08,48.268275,25.976996,759,11,25,723,97,3,4,90
4906,,Chernihivska,Ukraine,2020-05-17 16:53:08,51.355018,32.004509,12,1,3,8,1,0,1,0
