FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Confirmed_delta,Deaths_delta,Recovered_delta,Active_delta
4907,,Vinnytsia,Ukraine,2021-09-26 00:00:19,48.920517,28.685484,74881,1769,71051,2061,133,4,46,83
4908,,Volynska,Ukraine,2021-09-26 00:00:19,51.190885,24.870603,65067,1232,61721,2114,216,4,61,151
4913,,Dnipropetrovska,Ukraine,2021-09-26 00:00:19,48.301142,34.844169,145795,4805,134523,6467,751,7,260,484
4912,,Donetska,Ukraine,2021-09-26 00:00:19,48.047635,37.674086,98981,2580,92050,4351,503,4,95,404
4914,,Zhytomyrskа,Ukraine,2021-09-26 00:00:19,50.639546,28.475602,93234,1887,88348,2999,283,2,23,258
4915,,Zakarpatska,Ukraine,2021-09-26 00:00:19,48.403718,23.275854,63473,1628,60942,903,105,1,31,73
4891,,Zaporizka,Ukraine,2021-09-26 00:00:19,47.26706,35.700061,111409,2594,104837,3978,556,8,0,548
4892,,Ivano-Frankivska,Ukraine,2021-09-26 00:00:19,48.701932,24.619344,90685,2179,86356,2150,220,7,166,47
4910,,Kyivska,Ukraine,2021-09-26 00:00:19,50.299214,30.455333,132930,2855,126933,3142,290,6,99,185
4893,,Kirovohradska,Ukraine,2021-09-26 00:00:19,48.472378,32.081666,21522,886,20104,532,41,2,6,33
4894,,Luhanska,Ukraine,2021-09-26 00:00:19,48.985624,39.018116,32435,1070,27766,3599,302,9,103,190
4895,,Lvivska,Ukraine,2021-09-26 00:00:19,49.717422,23.916561,147835,3836,136250,7749,677,15,157,505
4896,,Mykolaivska,Ukraine,2021-09-26 00:00:19,47.438413,31.778998,72948,1927,69586,1435,181,4,49,128
4909,Kyiv,Kyivska,Ukraine,2021-09-26 00:00:19,50.448668,30.547911,232495,5364,219904,7227,446,5,153,288
4911,,Odeska,Ukraine,2021-09-26 00:00:19,46.518829,30.602712,151288,3217,141402,6669,485,11,260,214
4897,,Poltavska,Ukraine,2021-09-26 00:00:19,49.732656,33.778584,81251,1922,77476,1853,198,3,36,159
4898,,Rivnenska,Ukraine,2021-09-26 00:00:19,51.039594,26.391115,83562,1250,79936,2376,268,5,161,102
4899,,Sumska,Ukraine,2021-09-26 00:00:19,51.10612,34.12381,82178,1404,78545,2229,201,0,66,135
4900,,Ternopilska,Ukraine,2021-09-26 00:00:19,49.402088,25.64818,75082,1275,71109,2698,219,3,159,57
4901,,Kharkivska,Ukraine,2021-09-26 00:00:19,49.615098,36.504888,162009,3869,148746,9394,929,12,277,640
4902,,Khersonska,Ukraine,2021-09-26 00:00:19,46.673984,33.53598,41114,1303,37113,2698,179,5,101,73
4903,,Khmelnytska,Ukraine,2021-09-26 00:00:19,49.507456,26.929458,94273,1990,88944,3339,276,8,116,152
4904,,Cherkaska,Ukraine,2021-09-26 00:00:19,49.260159,31.352536,85731,1345,81910,2476,251,1,55,195
4905,,Chernivetska,Ukraine,2021-09-26 00:00:19,48.268275,25.976996,87108,1965,80344,4799,411,4,276,131
4906,,Chernihivska,Ukraine,2021-09-26 00:00:19,51.355018,32.004509,60464,1405,57313,1746,146,3,65,78
