FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Confirmed_delta,Deaths_delta,Recovered_delta,Active_delta
4907,,Vinnytsia,Ukraine,2020-10-07 00:00:19,48.920517,28.685484,6930,124,4248,2558,108,1,55,52
4908,,Volynska,Ukraine,2020-10-07 00:00:19,51.190885,24.870603,8880,179,5422,3279,146,5,86,55
4913,,Dnipropetrovska,Ukraine,2020-10-07 00:00:19,48.301142,34.844169,7372,125,3566,3681,235,0,25,210
4912,,Donetska,Ukraine,2020-10-07 00:00:19,48.047635,37.674086,4561,58,1135,3368,148,2,7,139
4914,,Zhytomyrskа,Ukraine,2020-10-07 00:00:19,50.639546,28.475602,7070,128,4006,2936,136,6,205,-75
4915,,Zakarpatska,Ukraine,2020-10-07 00:00:19,48.403718,23.275854,10317,313,5368,4636,98,1,116,-19
4891,,Zaporizka,Ukraine,2020-10-07 00:00:19,47.26706,35.700061,4746,74,1545,3127,116,3,29,84
4892,,Ivano-Frankivska,Ukraine,2020-10-07 00:00:19,48.701932,24.619344,14451,338,6940,7173,106,4,139,-37
4910,,Kyivska,Ukraine,2020-10-07 00:00:19,50.299214,30.455333,10099,202,6016,3881,181,2,19,160
4893,,Kirovohradska,Ukraine,2020-10-07 00:00:19,48.472378,32.081666,1194,62,907,225,10,1,12,-3
4894,,Luhanska,Ukraine,2020-10-07 00:00:19,48.985624,39.018116,1333,18,621,694,39,1,8,30
4895,,Lvivska,Ukraine,2020-10-07 00:00:19,49.717422,23.916561,21494,589,8002,12903,200,9,103,88
4896,,Mykolaivska,Ukraine,2020-10-07 00:00:19,47.438413,31.778998,3894,90,1209,2595,75,5,1,69
4909,Kyiv,Kyivska,Ukraine,2020-10-07 00:00:19,50.448668,30.547911,25091,436,8545,16110,355,6,282,67
4911,,Odeska,Ukraine,2020-10-07 00:00:19,46.518829,30.602712,15021,226,2558,12237,292,8,3,281
4897,,Poltavska,Ukraine,2020-10-07 00:00:19,49.732656,33.778584,3270,50,1284,1936,305,3,120,182
4898,,Rivnenska,Ukraine,2020-10-07 00:00:19,51.039594,26.391115,13374,177,10617,2580,126,2,260,-136
4899,,Sumska,Ukraine,2020-10-07 00:00:19,51.10612,34.12381,5676,85,2003,3588,223,5,67,151
4900,,Ternopilska,Ukraine,2020-10-07 00:00:19,49.402088,25.64818,14610,186,9590,4834,189,6,410,-227
4901,,Kharkivska,Ukraine,2020-10-07 00:00:19,49.615098,36.504888,21451,377,4589,16485,487,8,25,454
4902,,Khersonska,Ukraine,2020-10-07 00:00:19,46.673984,33.53598,1544,29,679,836,48,0,17,31
4903,,Khmelnytska,Ukraine,2020-10-07 00:00:19,49.507456,26.929458,7263,139,3123,4001,295,4,72,219
4904,,Cherkaska,Ukraine,2020-10-07 00:00:19,49.260159,31.352536,4687,60,2056,2571,137,1,44,92
4905,,Chernivetska,Ukraine,2020-10-07 00:00:19,48.268275,25.976996,15444,373,8360,6711,158,2,44,112
4906,,Chernihivska,Ukraine,2020-10-07 00:00:19,51.355018,32.004509,4812,82,1012,3718,135,5,0,130
