FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Confirmed_delta,Deaths_delta,Recovered_delta,Active_delta
4907,,Vinnytsia,Ukraine,2021-03-15 00:00:19,48.920517,28.685484,45963,773,30216,14974,634,1,254,379
4908,,Volynska,Ukraine,2021-03-15 00:00:19,51.190885,24.870603,42384,672,38512,3200,150,1,39,110
4913,,Dnipropetrovska,Ukraine,2021-03-15 00:00:19,48.301142,34.844169,78972,2107,70104,6761,660,16,120,524
4912,,Donetska,Ukraine,2021-03-15 00:00:19,48.047635,37.674086,50540,1107,45366,4067,346,0,12,334
4914,,Zhytomyrskа,Ukraine,2021-03-15 00:00:19,50.639546,28.475602,59415,952,46538,11925,923,15,105,803
4915,,Zakarpatska,Ukraine,2021-03-15 00:00:19,48.403718,23.275854,46875,1091,34099,11685,311,7,398,-94
4891,,Zaporizka,Ukraine,2021-03-15 00:00:19,47.26706,35.700061,71949,1255,66777,3917,114,7,88,19
4892,,Ivano-Frankivska,Ukraine,2021-03-15 00:00:19,48.701932,24.619344,72831,1397,52979,18455,461,33,251,177
4910,,Kyivska,Ukraine,2021-03-15 00:00:19,50.299214,30.455333,82134,1355,72297,8482,552,4,209,339
4893,,Kirovohradska,Ukraine,2021-03-15 00:00:19,48.472378,32.081666,11323,407,8415,2501,56,2,12,42
4894,,Luhanska,Ukraine,2021-03-15 00:00:19,48.985624,39.018116,15616,489,14333,794,27,0,2,25
4895,,Lvivska,Ukraine,2021-03-15 00:00:19,49.717422,23.916561,86507,2387,72602,11518,590,10,105,475
4896,,Mykolaivska,Ukraine,2021-03-15 00:00:19,47.438413,31.778998,45492,857,39250,5385,344,2,1,341
4909,Kyiv,Kyivska,Ukraine,2021-03-15 00:00:19,50.448668,30.547911,146398,2897,98365,45136,439,16,337,86
4911,,Odeska,Ukraine,2021-03-15 00:00:19,46.518829,30.602712,91857,1535,81100,9222,485,0,70,415
4897,,Poltavska,Ukraine,2021-03-15 00:00:19,49.732656,33.778584,48423,1034,43457,3932,105,0,3,102
4898,,Rivnenska,Ukraine,2021-03-15 00:00:19,51.039594,26.391115,51328,651,48168,2509,155,1,5,149
4899,,Sumska,Ukraine,2021-03-15 00:00:19,51.10612,34.12381,51169,731,47185,3253,309,1,88,220
4900,,Ternopilska,Ukraine,2021-03-15 00:00:19,49.402088,25.64818,46396,646,40651,5099,365,2,156,207
4901,,Kharkivska,Ukraine,2021-03-15 00:00:19,49.615098,36.504888,89791,1715,79392,8684,569,7,248,314
4902,,Khersonska,Ukraine,2021-03-15 00:00:19,46.673984,33.53598,22302,663,20614,1025,71,0,49,22
4903,,Khmelnytska,Ukraine,2021-03-15 00:00:19,49.507456,26.929458,52531,962,46474,5095,533,6,52,475
4904,,Cherkaska,Ukraine,2021-03-15 00:00:19,49.260159,31.352536,50923,673,46787,3463,142,0,14,128
4905,,Chernivetska,Ukraine,2021-03-15 00:00:19,48.268275,25.976996,62014,1156,46903,13955,477,13,125,339
4906,,Chernihivska,Ukraine,2021-03-15 00:00:19,51.355018,32.004509,37623,791,31932,4900,194,1,0,193
