FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Confirmed_delta,Deaths_delta,Recovered_delta,Active_delta
4907,,Vinnytsia,Ukraine,2020-10-27 00:00:19,48.920517,28.685484,9401,166,5724,3511,157,3,17,137
4908,,Volynska,Ukraine,2020-10-27 00:00:19,51.190885,24.870603,12403,247,7042,5114,181,4,97,80
4913,,Dnipropetrovska,Ukraine,2020-10-27 00:00:19,48.301142,34.844169,13144,315,5294,7535,228,0,0,228
4912,,Donetska,Ukraine,2020-10-27 00:00:19,48.047635,37.674086,8701,87,1426,7188,193,0,23,170
4914,,Zhytomyrskа,Ukraine,2020-10-27 00:00:19,50.639546,28.475602,12533,210,6495,5828,345,7,116,222
4915,,Zakarpatska,Ukraine,2020-10-27 00:00:19,48.403718,23.275854,13144,353,5980,6811,172,3,19,150
4891,,Zaporizka,Ukraine,2020-10-27 00:00:19,47.26706,35.700061,8132,97,1867,6168,160,0,0,160
4892,,Ivano-Frankivska,Ukraine,2020-10-27 00:00:19,48.701932,24.619344,18590,416,9177,8997,298,2,21,275
4910,,Kyivska,Ukraine,2020-10-27 00:00:19,50.299214,30.455333,14845,335,7683,6827,301,0,0,301
4893,,Kirovohradska,Ukraine,2020-10-27 00:00:19,48.472378,32.081666,2114,82,1118,914,86,2,6,78
4894,,Luhanska,Ukraine,2020-10-27 00:00:19,48.985624,39.018116,3233,61,1063,2109,64,2,0,62
4895,,Lvivska,Ukraine,2020-10-27 00:00:19,49.717422,23.916561,27608,783,10741,16084,335,6,32,297
4896,,Mykolaivska,Ukraine,2020-10-27 00:00:19,47.438413,31.778998,7069,133,1702,5234,134,3,0,131
4909,Kyiv,Kyivska,Ukraine,2020-10-27 00:00:19,50.448668,30.547911,34362,699,11749,21914,308,15,5,288
4911,,Odeska,Ukraine,2020-10-27 00:00:19,46.518829,30.602712,22179,333,3272,18574,348,5,0,343
4897,,Poltavska,Ukraine,2020-10-27 00:00:19,49.732656,33.778584,8056,153,2762,5141,180,2,12,166
4898,,Rivnenska,Ukraine,2020-10-27 00:00:19,51.039594,26.391115,17730,222,13417,4091,261,4,114,143
4899,,Sumska,Ukraine,2020-10-27 00:00:19,51.10612,34.12381,10605,153,3347,7105,202,2,53,147
4900,,Ternopilska,Ukraine,2020-10-27 00:00:19,49.402088,25.64818,19261,241,14223,4797,211,1,169,41
4901,,Kharkivska,Ukraine,2020-10-27 00:00:19,49.615098,36.504888,33250,495,6311,26444,478,2,31,445
4902,,Khersonska,Ukraine,2020-10-27 00:00:19,46.673984,33.53598,3236,70,1328,1838,95,3,0,92
4903,,Khmelnytska,Ukraine,2020-10-27 00:00:19,49.507456,26.929458,13482,203,5882,7397,182,3,100,79
4904,,Cherkaska,Ukraine,2020-10-27 00:00:19,49.260159,31.352536,8147,86,3473,4588,113,2,123,-12
4905,,Chernivetska,Ukraine,2020-10-27 00:00:19,48.268275,25.976996,19728,437,10038,9253,323,2,91,230
4906,,Chernihivska,Ukraine,2020-10-27 00:00:19,51.355018,32.004509,7971,87,1423,6461,71,0,0,71
