FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Confirmed_delta,Deaths_delta,Recovered_delta,Active_delta
4907,,Vinnytsia,Ukraine,2020-12-19 00:00:19,48.920517,28.685484,20578,350,12639,7589,259,3,216,40
4908,,Volynska,Ukraine,2020-12-19 00:00:19,51.190885,24.870603,29817,478,22997,6342,427,2,469,-44
4913,,Dnipropetrovska,Ukraine,2020-12-19 00:00:19,48.301142,34.844169,51401,1223,39263,10915,507,29,1274,-796
4912,,Donetska,Ukraine,2020-12-19 00:00:19,48.047635,37.674086,31449,641,21225,9583,553,7,253,293
4914,,Zhytomyrskа,Ukraine,2020-12-19 00:00:19,50.639546,28.475602,35662,600,27621,7441,505,10,544,-49
4915,,Zakarpatska,Ukraine,2020-12-19 00:00:19,48.403718,23.275854,26855,603,20466,5786,170,4,347,-181
4891,,Zaporizka,Ukraine,2020-12-19 00:00:19,47.26706,35.700061,45715,459,14487,30769,1022,12,569,441
4892,,Ivano-Frankivska,Ukraine,2020-12-19 00:00:19,48.701932,24.619344,41644,764,18311,22569,288,8,637,-357
4910,,Kyivska,Ukraine,2020-12-19 00:00:19,50.299214,30.455333,51588,859,23476,27253,922,10,991,-79
4893,,Kirovohradska,Ukraine,2020-12-19 00:00:19,48.472378,32.081666,7621,220,3155,4246,106,3,53,50
4894,,Luhanska,Ukraine,2020-12-19 00:00:19,48.985624,39.018116,8533,229,6186,2118,174,5,90,79
4895,,Lvivska,Ukraine,2020-12-19 00:00:19,49.717422,23.916561,55860,1616,40657,13587,569,25,478,66
4896,,Mykolaivska,Ukraine,2020-12-19 00:00:19,47.438413,31.778998,25826,416,11750,13660,539,4,221,314
4909,Kyiv,Kyivska,Ukraine,2020-12-19 00:00:19,50.448668,30.547911,98330,1679,31215,65436,1658,17,442,1199
4911,,Odeska,Ukraine,2020-12-19 00:00:19,46.518829,30.602712,61963,879,24281,36803,925,26,1096,-197
4897,,Poltavska,Ukraine,2020-12-19 00:00:19,49.732656,33.778584,31097,655,21932,8510,314,9,689,-384
4898,,Rivnenska,Ukraine,2020-12-19 00:00:19,51.039594,26.391115,37840,469,32185,5186,423,3,542,-122
4899,,Sumska,Ukraine,2020-12-19 00:00:19,51.10612,34.12381,37157,480,27735,8942,558,7,483,68
4900,,Ternopilska,Ukraine,2020-12-19 00:00:19,49.402088,25.64818,32089,434,27404,4251,215,2,341,-128
4901,,Kharkivska,Ukraine,2020-12-19 00:00:19,49.615098,36.504888,64237,959,49042,14236,505,17,819,-331
4902,,Khersonska,Ukraine,2020-12-19 00:00:19,46.673984,33.53598,15151,347,6239,8565,293,14,52,227
4903,,Khmelnytska,Ukraine,2020-12-19 00:00:19,49.507456,26.929458,36027,580,27669,7778,395,15,580,-200
4904,,Cherkaska,Ukraine,2020-12-19 00:00:19,49.260159,31.352536,33837,297,15934,17606,583,8,441,134
4905,,Chernivetska,Ukraine,2020-12-19 00:00:19,48.268275,25.976996,37695,729,23976,12990,228,7,598,-377
4906,,Chernihivska,Ukraine,2020-12-19 00:00:19,51.355018,32.004509,26409,290,11377,14742,492,13,641,-162
