FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Confirmed_delta,Deaths_delta,Recovered_delta,Active_delta
4907,,Vinnytsia,Ukraine,2021-04-13 00:00:19,48.920517,28.685484,62999,1296,41326,20377,159,16,319,-176
4908,,Volynska,Ukraine,2021-04-13 00:00:19,51.190885,24.870603,51315,853,42931,7531,247,14,64,169
4913,,Dnipropetrovska,Ukraine,2021-04-13 00:00:19,48.301142,34.844169,104866,2692,80094,22080,1112,24,132,956
4912,,Donetska,Ukraine,2021-04-13 00:00:19,48.047635,37.674086,67622,1429,52239,13954,327,10,210,107
4914,,Zhytomyrskа,Ukraine,2021-04-13 00:00:19,50.639546,28.475602,78276,1375,56470,20431,349,12,130,207
4915,,Zakarpatska,Ukraine,2021-04-13 00:00:19,48.403718,23.275854,57636,1442,46013,10181,62,7,388,-333
4891,,Zaporizka,Ukraine,2021-04-13 00:00:19,47.26706,35.700061,85486,1583,70711,13192,260,20,120,120
4892,,Ivano-Frankivska,Ukraine,2021-04-13 00:00:19,48.701932,24.619344,81833,1833,70196,9804,49,2,852,-805
4910,,Kyivska,Ukraine,2021-04-13 00:00:19,50.299214,30.455333,106721,1900,83678,21143,477,13,251,213
4893,,Kirovohradska,Ukraine,2021-04-13 00:00:19,48.472378,32.081666,15115,512,9666,4937,149,3,38,108
4894,,Luhanska,Ukraine,2021-04-13 00:00:19,48.985624,39.018116,19540,582,15896,3062,43,1,12,30
4895,,Lvivska,Ukraine,2021-04-13 00:00:19,49.717422,23.916561,117739,2872,85713,29154,590,24,388,178
4896,,Mykolaivska,Ukraine,2021-04-13 00:00:19,47.438413,31.778998,56451,1289,44319,10843,303,6,230,67
4909,Kyiv,Kyivska,Ukraine,2021-04-13 00:00:19,50.448668,30.547911,177106,3932,111216,61958,537,42,148,347
4911,,Odeska,Ukraine,2021-04-13 00:00:19,46.518829,30.602712,120867,2093,86549,32225,443,6,89,348
4897,,Poltavska,Ukraine,2021-04-13 00:00:19,49.732656,33.778584,61718,1289,50405,10024,136,0,11,125
4898,,Rivnenska,Ukraine,2021-04-13 00:00:19,51.039594,26.391115,63741,857,54164,8720,174,9,166,-1
4899,,Sumska,Ukraine,2021-04-13 00:00:19,51.10612,34.12381,65630,915,53296,11419,377,1,285,91
4900,,Ternopilska,Ukraine,2021-04-13 00:00:19,49.402088,25.64818,60657,922,49265,10470,315,2,327,-14
4901,,Kharkivska,Ukraine,2021-04-13 00:00:19,49.615098,36.504888,117759,2237,91764,23758,595,29,509,57
4902,,Khersonska,Ukraine,2021-04-13 00:00:19,46.673984,33.53598,27408,769,22107,4532,195,32,14,149
4903,,Khmelnytska,Ukraine,2021-04-13 00:00:19,49.507456,26.929458,74156,1335,56337,16484,149,2,112,35
4904,,Cherkaska,Ukraine,2021-04-13 00:00:19,49.260159,31.352536,65014,831,52533,11650,385,0,149,236
4905,,Chernivetska,Ukraine,2021-04-13 00:00:19,48.268275,25.976996,73864,1509,53504,18851,168,12,388,-232
4906,,Chernihivska,Ukraine,2021-04-13 00:00:19,51.355018,32.004509,47586,954,35823,10809,255,0,23,232
